Article Title,Publication Year,Actionable Recommendation,Impacted Genes
"Biological markers of prognosis, response to therapy and outcome in ovarian carcinoma",2016,Use macrophage colony-stimulating factor (M-CSF) serum levels alone or combined with HE4 or CA125 as a screening assay for ovarian carcinoma due to its high sensitivity and specificity.,PHKA2
"Biological markers of prognosis, response to therapy and outcome in ovarian carcinoma",2016,"Use serum soluble folate receptor alpha (sFRA) levels as a diagnostic biomarker for ovarian carcinoma with greater accuracy than CA125, and as a prognostic marker associated with shorter progression-free survival.",MTX1
"Biological markers of prognosis, response to therapy and outcome in ovarian carcinoma",2016,Use methylation status of BRCA1 promoter as a biomarker for prognosis and platinum sensitivity in ovarian carcinoma patients.,KDM3B
"Biological markers of prognosis, response to therapy and outcome in ovarian carcinoma",2016,Use BRCA1 and BRCA2 germline mutation status and homologous recombination repair deficiency as biomarkers to select ovarian carcinoma patients for PARP inhibitor therapy.,KDM3B
"Biological markers of prognosis, response to therapy and outcome in ovarian carcinoma",2016,Consider BRCA mutation status and tumor-infiltrating lymphocyte frequency as biomarkers to select ovarian carcinoma patients likely to respond to PD-1/PD-L1 immune checkpoint inhibitors.,KDM3B
Biomarker-based early detection of epithelial ovarian cancer based on a five-protein signature in patient’s plasma – a prospective trial,2000,"Use a combined plasma protein panel including CA125, OPN, HE4, leptin, and prolactin to preoperatively differentiate between benign and malignant ovarian masses, improving diagnostic accuracy over single markers.",ACPP
Biomarkers and Strategies for Early Detection of Ovarian Cancer,2025,Use CA125 in combination with other biomarkers such as HE4 to improve sensitivity and specificity for early detection of ovarian cancer and to triage patients for specialized surgery.,ACPP
Biomarkers and Strategies for Early Detection of Ovarian Cancer,2025,"Develop and use methylation-specific PCR panels targeting genes such as APC, RASSF1A, and OPCML for circulating tumor DNA (ctDNA) detection to improve early-stage ovarian cancer diagnosis.",ACPP
Biomarkers and Strategies for Early Detection of Ovarian Cancer,2025,Apply the Risk of Ovarian Cancer Algorithm (ROCA) using serial CA125 measurements to individualize screening and improve early detection sensitivity.,ACPP
"Biomarkers and algorithms for diagnosis of ovarian cancer: CA125, HE4, RMI and ROMA, a review",2000,"Use combined measurement of CA125 and HE4 serum levels to improve diagnostic accuracy for ovarian cancer, as this combination shows higher specificity and sensitivity than either marker alone.",ACPP
"Biomarkers and algorithms for diagnosis of ovarian cancer: CA125, HE4, RMI and ROMA, a review",2000,"Interpret HE4 levels with caution in smokers and patients using estrogen plus progestin contraceptives, as these factors can alter HE4 serum levels and potentially lead to false positives or negatives.",ACPP
"Biomarkers and algorithms for diagnosis of ovarian cancer: CA125, HE4, RMI and ROMA, a review",2000,"In cases of suspected benign ovarian tumors, measure both CA125 and HE4; an increase in both markers suggests malignancy and the need to consider surgical treatment.",ACPP
"Biomarkers and algorithms for diagnosis of ovarian cancer: CA125, HE4, RMI and ROMA, a review",2000,Use Risk of Malignancy Index (RMI) and Risk of Ovarian Malignancy Algorithm (ROMA) incorporating CA125 and HE4 levels along with clinical parameters to stratify patients' risk and guide clinical decision-making.,ACPP
CBF-30228-ovarian-cancer-biomarkers-as-diagnostic-triage-tests,2012,"Use CA125 serum marker for monitoring recurrence of ovarian cancer and for diagnostic evaluation of known adnexal masses, but not for general population screening due to low sensitivity and specificity.",ACPP
CBF-30228-ovarian-cancer-biomarkers-as-diagnostic-triage-tests,2012,"Apply the Risk of Malignancy Index (RMI), which incorporates CA125, ultrasound findings, and menopausal status, as a cost-effective and reliable preoperative predictor to triage adnexal masses for referral to gynecologic oncologists.",ACPP
CBF-30228-ovarian-cancer-biomarkers-as-diagnostic-triage-tests,2012,"Use Human Epididymis Protein 4 (HE4) as a biomarker for monitoring recurrence or progression of epithelial ovarian cancer and as part of diagnostic algorithms, especially to improve detection in premenopausal women and early-stage disease.",FXR2
CBF-30228-ovarian-cancer-biomarkers-as-diagnostic-triage-tests,2012,"Employ the Risk of Ovarian Malignancy Algorithm (ROMA), which combines CA125, HE4, and menopausal status, to improve preoperative risk stratification and referral decisions, particularly in postmenopausal women.","ACPP, FXR2"
CBF-30228-ovarian-cancer-biomarkers-as-diagnostic-triage-tests,2012,"Use OVA-1, a multi-biomarker algorithm including CA125 and additional markers, as a triage tool for women with adnexal masses to improve sensitivity of malignancy detection and appropriate referral to gynecologic oncologists, especially when clinical assessment is equivocal.",ACPP
28,2017,Investigate the PI3K/Akt and MAPK (ERK) pathways as downstream effectors of CD24-mediated EMT and tumor progression for potential combinational targeting.,"EIF4A1, EIF5AL1"
A comprehensive overview of exosomes in ovarian cancer: emerging biomarkers and therapeutic strategies,2000,Use TUBB3 (tubulin beta-3 chain) as a potential biomarker for ovarian cancer diagnosis and prognosis.,TUBBP6
A comprehensive overview of exosomes in ovarian cancer: emerging biomarkers and therapeutic strategies,2000,"Monitor exosomal protein levels, including TGF-β1 and MAGE3/6, as biomarkers to distinguish ovarian cancer patients from those with benign tumors and to assess chemotherapy efficacy.",MTX1
A comprehensive overview of exosomes in ovarian cancer: emerging biomarkers and therapeutic strategies,2000,Target annexin A3 to overcome platinum resistance in ovarian cancer by modulating exosome release and exocytosis.,ACPP
A comprehensive overview of exosomes in ovarian cancer: emerging biomarkers and therapeutic strategies,2000,Develop therapeutic strategies to inhibit exosomal ADAM15 ectodomain to block integrin-mediated MEK/ERK signaling pathway and inhibit ovarian cancer progression.,CAPN5
A comprehensive overview of exosomes in ovarian cancer: emerging biomarkers and therapeutic strategies,2000,"Utilize exosome-derived miRNAs such as miR-21, miR-103, miR-141, miR-203, miR-205, miR-214, miR-373, and miR-200a-c as prognostic biomarkers for ovarian cancer progression and poor prognosis.",PPIG
A comprehensive overview of exosomes in ovarian cancer: emerging biomarkers and therapeutic strategies,2000,Employ exosome-based delivery of miR-7 to inhibit ovarian cancer metastasis by downregulating EGFR/AKT/ERK1/2 signaling pathways.,EPHB2
30,2022,"Target CXCR4 to suppress epithelial ovarian cancer (EOC) progression and enhance chemotherapy sensitivity, specifically in combination with paclitaxel (PTX) treatment.",NACA2
30,2022,Use CXCR4 expression levels as a biomarker to predict prognosis and chemotherapy resistance in EOC patients.,NACA2
30,2022,"Employ PI3K/Akt/mTOR pathway inhibitors (e.g., MK2206) to block CXCR4-mediated EMT, cancer stem cell stemness, invasion, and tumorigenesis in ovarian cancer cells.",NACA2
30,2022,Implement CXCR4 knockdown strategies to synergistically sensitize ovarian cancer cells to paclitaxel chemotherapy both in vitro and in vivo.,NACA2
Complementary Longitudinal Serum Biomarkers to CA125 for Early Detection of Ovarian Cancer,1940,"Utilize HE4 and CA72-4 as complementary longitudinal serum biomarkers alongside CA125 to improve early detection sensitivity of ovarian cancer, especially for cases missed by CA125 alone.",ACPP
Complementary Longitudinal Serum Biomarkers to CA125 for Early Detection of Ovarian Cancer,1940,Exclude MMP-7 from future biomarker panels for early ovarian cancer detection due to minimal utility in identifying CA125-negative cases.,CLPP
Complementary Longitudinal Serum Biomarkers to CA125 for Early Detection of Ovarian Cancer,1940,"Implement multiplexed bead-based immunoassays for simultaneous measurement of CA125, HE4, MMP-7, and CA72-4 in ultra-low serum volumes to enable longitudinal biomarker monitoring.","ACPP, CLPP"
pone.0029533 1..10,2011,"Use HE4 and CA-125 as serum biomarkers for monitoring and detection of epithelial ovarian cancer, with HE4 showing slightly better performance than CA-125.",ACPP
pone.0029533 1..10,2011,"Develop and implement multivariate biomarker panels combining the nine most informative biomarkers (including HE4, CA-125, IL-2 receptor alpha, a1-antitrypsin, C-reactive protein, YKL-40, cellular fibronectin, CA-72-4, and prostasin) to improve sensitivity and specificity for ovarian cancer detection over existing panels such as OVA1.",ACPP
pone.0029533 1..10,2011,"Consider menopausal status when interpreting biomarker panel results, as biomarker performance (e.g., HE4, CA-125, IL-2 receptor alpha) is better in post-menopausal women compared to pre-menopausal women.",ACPP
40,2024,"Use the CA-125 elimination rate constant K (KELIM) as a pragmatic biomarker to assess tumor chemosensitivity in advanced epithelial ovarian cancer patients undergoing neoadjuvant chemotherapy (NACT). Calculate KELIM using at least 3 CA-125 measurements during the first 100 days of chemotherapy to predict likelihood of complete interval debulking surgery (IDS), progression-free survival (PFS), and overall survival (OS).",ACPP
40,2024,"Integrate KELIM score with completeness of interval debulking surgery (IDS) to stratify patients into three prognostic groups (good, intermediate, poor) for personalized clinical decision-making and treatment planning.",ACPP
40,2024,"Consider KELIM as a complementary tool to BRCA mutational status for predicting chemosensitivity and potentially guiding the use of PARP inhibitors, especially in patients with BRCA2 mutations.",ACPP
40,2024,"For patients with unfavorable KELIM scores and incomplete IDS (poor prognosis group), consider innovative treatment approaches to increase chemosensitivity, such as chemotherapy dosage adjustment (fractionated dose-dense chemotherapy), addition of bevacizumab, or cell cycle checkpoint inhibitors.",ACPP
Detection of the Ovarian Cancer Biomarker Lysophosphatidic Acid in Serum,2017,"Develop and implement a biosensor assay based on the actin–gelsolin protein complex to detect lysophosphatidic acid (LPA) in serum for early-stage ovarian cancer screening, with a detection limit of approximately 5 µM LPA.",POTEE
Detection of the Ovarian Cancer Biomarker Lysophosphatidic Acid in Serum,2017,Use gelsolin domains 1–3 (gelsolin1–3) as a probe protein in the biosensor assay to improve surface binding and signal strength compared to full-length gelsolin.,POTEE
Detection of the Ovarian Cancer Biomarker Lysophosphatidic Acid in Serum,2017,"Optimize the biosensor surface preparation by using silica gel with a pore size of 150 Å, a 1:2 ratio of MEG-Cl linker to spacer, and a plasma cleaning time of at least 10 minutes to reduce non-specific adsorption and improve assay reproducibility.",POTEE
Detection of the Ovarian Cancer Biomarker Lysophosphatidic Acid in Serum,2017,Employ fluorescence spectroscopy measurement of rhodamine-dyed actin release from the actin–gelsolin complex as a quantitative readout for LPA concentration in serum samples.,POTEE
46,2012,Use serum human epididymis protein 4 (HE4) as a diagnostic biomarker to differentiate ovarian cancer from benign gynecologic diseases due to its higher sensitivity and better overall diagnostic accuracy compared to soluble mesothelin-related protein (SMRP).,NACA2
46,2012,Combine HE4 with CA-125 serum tumor markers to improve sensitivity and specificity for ovarian cancer diagnosis compared to using either marker alone.,NACA2
46,2012,"Consider combining HE4 and SMRP markers to further increase diagnostic accuracy for ovarian cancer, as this combination showed the highest diagnostic odds ratio among tested combinations.",NACA2
46,2012,Use serum SMRP with caution as a diagnostic marker for ovarian cancer due to its limited sensitivity despite high specificity; it may be more suitable for confirming diagnosis rather than screening.,NACA2
47,2024,"Use urine HE4 concentration and HE4/creatinine (HE4/CRE) ratio as non-invasive tumor markers for differential diagnosis of ovarian cancer, distinguishing cancer from healthy individuals or benign conditions.",NACA2
47,2024,Implement urine HE4/CRE ratio measurement for early detection of chemotherapy resistance in ovarian cancer patients to guide therapy adjustments.,NACA2
47,2024,Use serial measurements of urine HE4/CRE ratio in follow-up of ovarian cancer patients to detect disease recurrence earlier than serum markers or clinical signs.,NACA2
47,2024,"Standardize preanalytical procedures for urine collection, processing, and HE4 measurement, including reporting HE4 normalized to creatinine, to improve diagnostic accuracy and reproducibility.",NACA2
47,2024,"Consider urine HE4 testing as a non-invasive alternative to serum HE4 for ovarian cancer diagnosis and monitoring, especially in early-stage disease and in patients where blood sampling is difficult.",NACA2
Discovery of a biomarker candidate for surgical stratification in high-grade serous ovarian cancer,2021,"Investigate therapeutic targeting of oxidative phosphorylation (OXPHOS) pathways in ALG5-high HGSOC tumors, as ALG5 expression correlates strongly with OXPHOS gene signatures, suggesting a distinct metabolic phenotype that may be susceptible to OXPHOS inhibitors.",ATP5L2
53,2016,"Use a panel combining CA-125 and HE4 biomarkers, calculated via the Risk of Ovarian Malignancy Algorithm (ROMA), to improve differentiation between benign and malignant ovarian tumors, especially in preoperative assessment of adnexal masses.",ACPP
53,2016,"Adjust cut-off values for CA-125, HE4, and RMI to improve specificity in ovarian cancer diagnosis: increase CA-125 cut-off to ≥60 U/mL, RMI to ≥250, and HE4 to 140 pmol/L in postmenopausal women to reduce false positives while maintaining acceptable sensitivity.",ACPP
53,2016,"Prefer HE4 and ROMA markers over CA-125 and RMI for distinguishing benign ovarian tumors or endometriosis from ovarian cancer, particularly in premenopausal women, due to their higher specificity and lower false positive rates in benign gynecological conditions.",ACPP
53,2016,"In clinical settings where pelvic ultrasonography is performed by less experienced sonographers, incorporate HE4 measurement to improve diagnostic accuracy and triage of women presenting with adnexal lesions.",ACPP
Exosomal miR-1290 is a potential biomarker of high-grade serous ovarian carcinoma and can discriminate patients from those with malignancies of other histological types,2000,Use serum miR-1290 as a diagnostic biomarker to discriminate high-grade serous ovarian carcinoma (HGSOC) patients from healthy controls and from patients with other histological types of ovarian malignancies.,NACA2
Exosomal miR-1290 is a potential biomarker of high-grade serous ovarian carcinoma and can discriminate patients from those with malignancies of other histological types,2000,Monitor serum miR-1290 levels before and after primary debulking surgery (PDS) to reflect tumor burden in HGSOC patients.,NACA2
Exosomal miR-1290 is a potential biomarker of high-grade serous ovarian carcinoma and can discriminate patients from those with malignancies of other histological types,2000,Combine serum miR-1290 measurement with CA125 to improve diagnostic accuracy for distinguishing HGSOC from other epithelial ovarian cancers.,NACA2
Exploring alternative ovarian cancer biomarkers using innovative nanotechnology strategies,2016,Use the ATC chip to isolate and molecularly profile ascites tumor cells (ATCs) from ovarian cancer patients to monitor treatment response and tumor progression through serial sampling of ascites fluid.,"DVL2, EPHB2"
Exploring alternative ovarian cancer biomarkers using innovative nanotechnology strategies,2016,"Apply the quad-marker panel (MUC-1, EGFR, HER2, EpCAM) with μNMR technology for rapid, sensitive, and multiplexed detection of circulating tumor cells (CTCs) in ovarian cancer patients to improve diagnosis and monitor disease progression.","EPHB2, DVL2"
Exploring alternative ovarian cancer biomarkers using innovative nanotechnology strategies,2016,"Utilize μNMR and micro-Hall detector (μHD) technologies with magnetic nanoparticle labeling and BOND chemistry to detect and profile CTCs, including those undergoing epithelial-to-mesenchymal transition (EMT), for minimally invasive monitoring of ovarian cancer progression and treatment response.","EPHB2, DVL2"
Exploring alternative ovarian cancer biomarkers using innovative nanotechnology strategies,2016,"Employ the nPLEX nano-plasmonic exosome detection platform to sensitively and rapidly detect and molecularly profile ovarian cancer-derived exosomes in patient ascites and blood samples, using markers such as EpCAM and CD24, to diagnose cancer and monitor treatment response.","EPHB2, DVL2"
"Extracellular vesicles in ovarian cancer chemoresistance, metastasis, and immune evasion",2000,"Use EV miRNAs, including miR-214-3p and miR-891-5p, as biomarkers to monitor ovarian cancer chemoresistance and predict therapeutic response.","EIF4A1, EIF5AL1, KDM3B, PPIG, EPHB2, CLPP, ITPR2, GTF2F1, ZNF511, SSB, RBM41, PELP1"
"Extracellular vesicles in ovarian cancer chemoresistance, metastasis, and immune evasion",2000,Target EV-mediated transfer of drug resistance factors such as miR-21 and miR-223 to overcome chemoresistance in ovarian cancer cells.,"EIF4A1, EIF5AL1, KDM3B, PPIG, EPHB2, CLPP, ITPR2, GTF2F1, ZNF511, SSB, RBM41, PELP1"
"Extracellular vesicles in ovarian cancer chemoresistance, metastasis, and immune evasion",2000,"Pharmacologically inhibit EV generation (e.g., using GW4869) to reverse chemoresistance in ovarian cancer cells.","EIF4A1, EIF5AL1, KDM3B, PPIG, EPHB2, CLPP, ITPR2, GTF2F1, ZNF511, SSB, RBM41, PELP1"
"Extracellular vesicles in ovarian cancer chemoresistance, metastasis, and immune evasion",2000,Develop EV-based drug delivery systems to improve therapeutic efficacy and reduce side effects in ovarian cancer treatment.,"EIF4A1, EIF5AL1, KDM3B, PPIG, EPHB2, CLPP, ITPR2, GTF2F1, ZNF511, SSB, RBM41, PELP1"
"Extracellular vesicles in ovarian cancer chemoresistance, metastasis, and immune evasion",2000,Target EV PD-L1 to enhance anti-tumor immune response and improve immunotherapy outcomes in ovarian cancer.,"EIF4A1, EIF5AL1, KDM3B, PPIG, EPHB2, CLPP, ITPR2, GTF2F1, ZNF511, SSB, RBM41, PELP1"
"Extracellular vesicles in ovarian cancer chemoresistance, metastasis, and immune evasion",2000,Use EVs to modulate macrophage polarization from M2 (tumor-promoting) to M1 (tumor-suppressing) phenotype to counteract immune evasion in ovarian cancer.,"EIF4A1, EIF5AL1, KDM3B, PPIG, EPHB2, CLPP, ITPR2, GTF2F1, ZNF511, SSB, RBM41, PELP1"
"Extracellular vesicles in ovarian cancer chemoresistance, metastasis, and immune evasion",2000,Develop immunotherapies targeting follicle-stimulating hormone receptor (FSHR) carried by EVs for ovarian cancer treatment.,"EIF4A1, EIF5AL1, KDM3B, PPIG, EPHB2, CLPP, ITPR2, GTF2F1, ZNF511, SSB, RBM41, PELP1"
HE4 level in ascites may assess the ovarian cancer chemotherapeutic effect,2000,"Measure human epididymis protein 4 (HE4) levels in ovarian cancer ascites, alone or combined with serum carbohydrate antigen 125 (CA125) levels, to assess therapeutic effect and predict chemoresistance in ovarian cancer patients with ascites.",TTF1
HE4 level in ascites may assess the ovarian cancer chemotherapeutic effect,2000,"Use combined testing of HE4 and CA125 as a prognostic marker to monitor treatment response and disease progression in ovarian cancer patients, especially to identify chemotherapy resistance.",TTF1
High BMP7 expression is associated with poor prognosis in ovarian cancer,2023,"Investigate combined therapeutic strategies targeting BMP7 signaling and calpain system proteins, given their strong correlation and joint role in ovarian cancer progression.",CAPN5
High levels of pretreatment CA125 are associated to improved survival in high grade serous ovarian carcinoma,2000,"Use pretreatment serum CA125 levels as a prognostic biomarker in epithelial ovarian cancer (EOC) patients, particularly in high grade serous carcinoma (HGSC) at FIGO stage III. Specifically, patients with CA125 levels higher than 500 U/mL have an improved survival rate and should be stratified accordingly in clinical decision-making.",TTF1
69,2018,Use 2-piperidinone and 1-heptadecanoylglycerophosphoethanolamine as serum biomarkers for early diagnosis and clinical evaluation of ovarian cancer due to their high sensitivity and specificity.,"NACA2, EIF4A1"
69,2018,"Monitor metabolic pathways related to fatty acid β-oxidation, phospholipid metabolism, and bile acid metabolism in ovarian cancer patients to understand disease progression and therapeutic response.","NACA2, EIF4A1, MTX1"
69,2018,"Consider targeting phospholipid metabolism pathways, including lysophosphatidic acid (LPA) signaling, to inhibit ovarian cancer cell proliferation, invasion, and metastasis.","NACA2, EIF4A1"
69,2018,Explore inhibition of diacylglycerol kinase (DGK) α to promote T cell activation and enhance cancer immunotherapy efficacy in ovarian cancer.,"NACA2, EIF4A1"
A Novel Multiple Biomarker Panel for the Early Detection of High-grade Serous Ovarian Carcinoma,2016,"Use a 4-marker serum biomarker panel consisting of CA125, HE4, E-CAD, and IL-6 for improved early detection of high-grade serous ovarian carcinoma, as it shows higher sensitivity and specificity compared to CA125 or HE4 alone or their combination.",ACPP
A Novel Multiple Biomarker Panel for the Early Detection of High-grade Serous Ovarian Carcinoma,2016,"Implement the 4-marker panel (CA125, HE4, E-CAD, IL-6) as a clinical tool for triaging women with pelvic masses to improve specificity and positive predictive value, potentially reducing unnecessary surgeries.",ACPP
A Novel Multiple Biomarker Panel for the Early Detection of High-grade Serous Ovarian Carcinoma,2016,Further validate the 4-marker panel in larger independent cohorts to confirm its utility for early detection and clinical application in high-grade serous ovarian carcinoma screening.,ACPP
Kinetics of HE4 and CA125 as prognosis biomarkers during neoadjuvant chemotherapy in advanced epithelial,2010,"Monitor serum HE4 levels during neoadjuvant chemotherapy cycles, especially from the second cycle onward, to predict tomographic response and identify patients less likely to respond to treatment.",NACA2
Kinetics of HE4 and CA125 as prognosis biomarkers during neoadjuvant chemotherapy in advanced epithelial,2010,Assess the reduction in HE4 levels between baseline and after the first chemotherapy cycle as an early indicator of treatment response to guide clinical decisions on continuing or modifying chemotherapy.,NACA2
76,,"Use EIF2B5 mRNA expression levels as a prognostic biomarker to predict overall survival in ovarian cancer patients, with low EIF2B5 expression indicating a poorer prognosis and potentially guiding treatment planning.",EIF5AL1
79,2015,"Use miR-200 family members (miR-200a, miR-200b, miR-200c, miR-141, miR-429) as diagnostic biomarkers for early detection of ovarian cancer and to predict chemoresistance, especially paclitaxel sensitivity.","DVL2, TUBBP6"
79,2015,Employ let-7 family miRNAs as prognostic biomarkers and therapeutic targets due to their tumor suppressor roles and association with poor survival when downregulated.,KDM3B
79,2015,Target miR-21 and miR-214 to overcome chemoresistance in ovarian cancer by modulating the PTEN/PI3K/AKT pathway.,"PPIG, SMURF1"
79,2015,"Use circulating serum miRNAs such as miR-21, miR-92, miR-93, miR-126, and miR-29a as non-invasive diagnostic biomarkers for ovarian cancer screening and monitoring.","EIF4A1, EIF5AL1"
79,2015,"Monitor miR-221 expression levels as a diagnostic and prognostic biomarker associated with ovarian cancer stage, grade, and chemoresistance.",PPIG
79,2015,"Evaluate miR-30 family members (miR-30c, miR-30d, miR-30e-3p) and miR-532-5p expression for differential staging and grading of ovarian carcinoma and as potential prognostic biomarkers.","C17orf74, C17orf81"
79,2015,"Use miR-34a/b/c expression status as a biomarker for ovarian cancer progression and EMT regulation, especially in the context of p53 mutation status.",PPIG
79,2015,Consider miR-376c as a therapeutic target to sensitize ovarian cancer cells to cisplatin by modulating ALK7 expression.,EPHB2
79,2015,"Incorporate miRNA expression profiling (e.g., miR-145, miR-200a, miR-200c, miR-21) into clinical practice for early detection, prognosis, and monitoring of ovarian cancer progression and therapeutic response.","PPIG, EIF4A1, EIF5AL1"
MicroRNAs as Potential Biomarkers in Gynecological Cancers,2023,Combine the measurement of miR-200c-3p and miR-221-3p expression with CA-125 serum marker to significantly increase diagnostic accuracy for ovarian cancer.,"RPL19P12, PSMD14"
MicroRNAs as Potential Biomarkers in Gynecological Cancers,2023,Use the combination of overexpressed miR-1307 and miR-375 with CA-125 and HE4 markers to improve diagnostic accuracy of ovarian cancer.,"MTX1, ACPP"
MicroRNAs as Potential Biomarkers in Gynecological Cancers,2023,Determine expression of miR-205 together with CA-125 and HE4 to significantly increase diagnostic sensitivity and specificity in ovarian cancer.,"PPIG, C17orf74"
MicroRNAs as Potential Biomarkers in Gynecological Cancers,2023,"Use a miRNA panel including miR-200a-3p, miR-26a-5p, miR-766-3p, let-7d-5p, miR-142-3p, and miR-328-3p combined with CA-125 to achieve high diagnostic accuracy for ovarian cancer.","EIF4A1, DYNC1I2, KDM3B, LEMD2, DVL2, GPN3"
MicroRNAs as Potential Biomarkers in Gynecological Cancers,2023,Consider miR-200c as a therapeutic target to enhance the anticancer efficacy of PARP inhibitors in ovarian cancer treatment.,"RPL19P12, PSMD14"
MicroRNAs as Potential Biomarkers in Gynecological Cancers,2023,Use miR-506-3p to improve response to PARP inhibitors in ovarian cancer therapy.,"RPL19P12, PSMD14"
Microsoft Word - 100710.docx,2015,"Target HE4 as a novel therapeutic target for ovarian cancer to inhibit tumor proliferation, invasion, and metastasis.","EIF4A1, EIF5AL1, KDM3B, EEA1, POTEE, KIAA1751, TTF1, GBAP1, MTX1, ACPP, RPL19P12, PSMD14, PPIG, C17orf74, CCDC112, BBS5, LEMD2, SMURF1, SPDYE3, PCDP1, CAPN5, HIST2H2AC, NUP214, GPN3, SS18, WDR60, C18orf21, DVL2, RNASEK, TEX11, LRRC37A3, CDKN2AIPNL, LSMD1, WBP11P1, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, CRYBG3, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1, C17orf81"
Microsoft Word - 100710.docx,2015,"Use HE4 as a biomarker for monitoring ovarian cancer recurrence and therapeutic response, including prediction of chemotherapy response and prognosis.","EIF4A1, EIF5AL1, KDM3B, EEA1, POTEE, KIAA1751, TTF1, GBAP1, MTX1, ACPP, RPL19P12, PSMD14, PPIG, C17orf74, CCDC112, BBS5, LEMD2, SMURF1, SPDYE3, PCDP1, CAPN5, HIST2H2AC, NUP214, GPN3, SS18, WDR60, C18orf21, DVL2, RNASEK, TEX11, LRRC37A3, CDKN2AIPNL, LSMD1, WBP11P1, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, CRYBG3, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1, C17orf81"
Microsoft Word - 100710.docx,2015,Monitor integrin β5 expression as it correlates positively with HE4 expression and is associated with chemotherapy resistance and poor prognosis in ovarian cancer.,ITPR2
Microsoft Word - 100710.docx,2015,"Use plasma miR-200b concentration variation (post- minus pre-treatment) as a prognostic biomarker to predict progression-free survival (PFS) in ovarian carcinoma patients, complementary to CA-125 monitoring.",TTF1
Microsoft Word - 100710.docx,2015,"Incorporate sequential plasma miR-200b measurements before and after primary treatment to identify ovarian carcinoma patients at high risk of relapse, enabling tailored adjuvant therapy strategies.",TTF1
Predicting chemoresponsiveness in epithelial ovarian cancer patients using circulating small extracellular vesicle-derived plasma gelsolin,2010,Use the ratio of total plasma gelsolin (pGSN) to small extracellular vesicle-derived plasma gelsolin (sEV-pGSN) measured from patient plasma samples prior to chemotherapy as a predictive biomarker to identify epithelial ovarian cancer (EOC) patients likely to be chemoresistant (progression free interval ≤ 12 months). This biomarker ratio outperforms CA125 and individual pGSN measurements in predicting chemoresponsiveness and can inform treatment planning and follow-up strategies.,POTEE
92,2020,"Monitor serum CA125 levels dynamically, specifically calculating the CA125 half-life, to predict progression-free survival (PFS) in patients with epithelial ovarian carcinoma (EOC). Use CA125 half-life as an independent prognostic biomarker to identify patients at higher risk of disease progression and adjust individualized treatment plans accordingly.",ACPP
HDBMR_2170606 1..12,2000,"Use TGF-β2 mRNA and protein expression levels as predictive biomarkers for poor prognosis in ovarian cancer patients, especially those with serous, poorly differentiated, advanced-stage tumors, TP53 mutations, or undergoing chemotherapy with platins, Taxol, or a combination of platin+Taxol.",ACPP
HDBMR_2170606 1..12,2000,"Use TGF-β3 mRNA expression as a biomarker to predict poor overall survival and progression-free survival in ovarian cancer patients, particularly in serous ovarian carcinoma and those with TP53 mutations. Monitor TGF-β3 levels to assess prognosis and chemotherapy response.",ACPP
HDBMR_2170606 1..12,2000,"Do not use TGF-β1 and TGF-β4 expression levels as prognostic biomarkers for ovarian cancer, as they showed no significant association with survival outcomes.",ACPP
HDBMR_2170606 1..12,2000,"Develop and investigate inhibitors targeting TGF-β2 to potentially improve clinical outcomes in ovarian cancer patients, especially those with poor prognosis markers.",ACPP
94,2015,"Use Nrf2 expression as an independent prognostic biomarker to identify ovarian carcinoma patients with poorer disease-free survival (DFS) and overall survival (OS), particularly in serous carcinoma subtype.",NACA2
94,2015,"Consider targeting Nrf2 for therapeutic intervention to overcome platinum-based chemotherapy resistance in ovarian epithelial carcinoma, especially in serous carcinoma with high Nrf2 expression.",NACA2
94,2015,"Use p16 immunoexpression as a prognostic marker in univariate analysis to predict disease-free survival and overall survival in ovarian carcinoma, with caution as it loses significance in multivariate analysis.",CDKN2AIPNL
94,2015,"Monitor Keap1 expression levels in ovarian carcinoma subtypes, especially serous carcinoma, as it shows highest cytoplasmic immunoexpression, although it was not an independent prognostic factor.",HSP90B3P
94,2015,"Evaluate E-cadherin expression as a biomarker for tumor subtype differentiation and potential involvement in tumor proliferation and metastasis, though it was not a significant prognostic factor in this study.",NACA2
95,2022,"Consider the application of autophagy inhibitors in patients with high-grade serous carcinoma (HGSC) of ovarian cancer, characterized by high p62 and LC3 expression and low Beclin1 expression, to potentially improve therapy response.","NACA2, EIF4A1, EIF5AL1"
95,2022,"Use combined immunohistochemical analysis of p62, LC3, and Beclin1 expression as prognostic and predictive biomarkers in epithelial ovarian carcinoma (EOC) to guide clinical management and therapy decisions.","NACA2, EIF4A1, EIF5AL1"
95,2022,"Incorporate autophagy marker expression profiling (p62, LC3, Beclin1) in histopathological evaluation of ovarian tumors to assess tumor aggressiveness, stage, and differentiation, aiding in risk stratification.","NACA2, EIF4A1, EIF5AL1"
